Sites to search,Reliability,Leaning,Oped?,Pay?,Notes
*.thequint.com/*webqoof*,IFCN,,N,N,
*.theregister.com/*,Perennial,R,Y / Y,N,
*.thetimes.co.uk/*,Perennial,R,Y,Y?,
*.theverge.com/*,Perennial,,N,N,
*.thewire.in/*,Perennial,,Y*,N,Still able to criticize BJP?
*.thip.media/*fact-check*,IFCN,,N,N,
*.time.com/*,Perennial,,Y*,Y,
*.torrentfreak.com/*,Perennial,,Y*,N,
*.towcenter.columbia.edu/*,,,N,N,Is there indexable content here? Or mostly links to other sites?
*.tvnz.co.nz/*,State Media Monitor,,N,N,
*.usatoday.com/*,Perennial,,Y,Y,
*.usatoday.com/*factcheck*,Perennial,,N,N,
*.usnews.com/*,Perennial,,Y / Y,N,
*.vanityfair.com/*,Perennial,,N,Y,
*.variety.com/*,Perennial,,Y / Y,N,
*.venturebeat.com/*,Perennial,C,N,Y,
*.vishvasnews.com/*fact-check*,IFCN,,N,N,
*.voanews.com/*,Perennial,,N,N,
*.vogue.com/*,Perennial,,Y*,Y,
*.votebeat.org/*,INN,,,N,
*.vox.com/*,Perennial,,Y / Y,Y,
*.vulture.com/*,Perennial,,N,Y,
*.wabe.org/*,INN,,N,N,
*.washingtonpost.com/*,Perennial,,Y,Y,
*.washingtonpost.com/*fact-check/*,Perennial,,N,N,
*.wfae.org/*,INN,,Y / Y,N,
*.whyy.org/*,INN,,Y*,N,
*.wired.com/*,Perennial,,Y*,Y,
*.wisconsinwatch.org/*,IFCN,,N,N,
*.wnyc.org/*,INN,,N?,N,
*.wsj.com/*,Perennial,R,Y*,Y,
*.wyborcza.pl/*,Perennial,,Y*,Y,Seems sensationalist
*.yle.fi/news/*,State Media Monitor,,N,N,
https://211check.org/*,IFCN,,N,N,
https://annielab.org/*,IFCN,,N,N,
https://apnews.com/*fact-check*,Perennial,,N,N,
https://checkyourfact.com/*,IFCN,R,N,N,
https://dfrac.org/*fact-check*,IFCN,,N,N,
https://digiteye.in/*,IFCN,,N,N,
https://facta.news/*,IFCN,,N,N,
https://factcheck.ge/en*,IFCN,,N,N,
https://factcheck.org/*,IFCN,,N,N,
https://factcheckni.org/*,IFCN,,N,N,
https://factcheckzw.org/*,IFCN,,N,N,
https://factcrescendo.com/*,IFCN,,N,N,
https://factly.in/*,IFCN,,N,N,
https://factnameh.com/en/*,IFCN,,N,N,
https://firstcheck.in/*,IFCN,,N,N,
https://fullfact.org/*,IFCN,,N,N,
https://ghanafact.com/*,IFCN,,N,N,
https://leadstories.com/*,IFCN,,N,N,
https://mythdetector.ge/*,IFCN,,N,N,
https://newsmeter.in/fact-check*,IFCN,,N,N,
https://nordishub.eu/fact-checking/*,IFCN,,N,N,
https://pa.media/*fact-check*,IFCN,,N,N,
https://pesacheck.org/*,IFCN,,N,N,
https://pressone.ph/fact-check*,IFCN,,N,N,
https://probe.ph/*,IFCN,,N,N,
https://science.feedback.org/*,IFCN,,N,N,
https://thedispatch.com/*fact-check*,IFCN,,N,N,
https://theferret.scot/category/fact-check/*,IFCN,,N,N,
https://tsmliberia.com/*,IFCN,,N,N,
https://verafiles.org/*fact-check*,IFCN,,N,N,
